Herbals,
chamomile,"Helps to reduce menstrual pain and muscle spasms, improves sleep quality and relaxation, and reduces stress, and relieves anxiety and depression symptoms. Believed to have antibacterial, anti-inflammatory and liver-protecting effects. May protect against diarrhea, stomach ulcers, nausea, and gas due to its anti-inflammatory effects. Chamomile tea contains the antioxidant apigenin, which may help lower inflammation and reduce the risk of several types of cancer. The anti-inflammatory effects of chamomile tea may promote blood sugar control, especially when it’s consumed with a meal. Chamomile is a great source of flavone antioxidants that may play a role in improving heart health."
rooibos,"Improves blood pressure and circulation, boosts good cholesterol while lowering bad cholesterol, keeps hair strong and skin healthy, and provides relief from allergies. Preliminary evidence suggests that rooibos tea may help improve bone health and reduce heart disease risk, but more studies are needed."
peppermint,"Contains menthol, which can soothe an upset stomach and serve as a cure for constipation, irritable bowel syndrome and motion sickness. This tea variety also offers pain relief from tension headaches and migraines. Peppermint tea is traditionally used to relieve discomfort of the digestive tract. Studies have found that peppermint oil can help relieve nausea, cramping, spasms and stomach pain."
ginger,"Helps to fight against morning sickness, can be used to treat chronic indigestion and helps to relieve joint pain caused by osteoarthritis. Ginger tea is best known as a remedy for nausea, and studies have repeatedly found it to be effective for this use. However, several studies have also found that ginger can help relieve period pain, and it may offer benefits for people with diabetes. It also helps fight inflammation and stimulates the immune system."
hibiscus,"Lowers blood pressure and fat levels, improves overall liver health, can starve off cravings for unhealthy sweets, and may prevent the formation of kidney stones. Hibiscus tea may help lower high blood pressure and fight oxidative stress. However, it shouldn’t be taken with a certain diuretic medication or at the same time as aspirin."
echinacea,"Evidence has shown that echinacea may help boost the immune system, which could help the body fight off viruses or infections. Many studies have found that echinacea can shorten the duration of the common cold, lessen the severity of its symptoms or even prevent it. may help soothe your sore throat or clear up your stuffy nose if you do feel a cold coming on."
sage,"May improve blood lipid levels, and protect against the development of colon cancer. Several studies have found that sage improves cognitive function and memory. It may also benefit colon and heart health. Research shows that it may be beneficial for “depression, dementia, obesity, diabetes, lupus, heart disease, and cancer“."
lemon balm tea,"Melissa or lemon balm is a herb commonly found in Europe, North America and some Asian countries. It belongs to a mint family and has a milder, more lemony flavor. Benefits are similar to those of mint teas. It’s used for stomach problems, calming the body and mind and as diuretic. Preliminary studies have found that lemon balm tea may improve antioxidant levels, heart and skin health and even aid in relieving anxiety. May lower risk of heart disease, stroke and mental decline. "
rosehip tea,High in vitamin C and antioxidants. Its anti-inflammatory properties may reduce inflammation and pain associated with arthritis. Studies have also found rose hips effective at fighting aging of the skin and reducing stomach fat.
passionflower tea,Studies have found that passionflower tea may help improve sleep and reduce anxiety. The most common use of Passion flower tea is as a sedative and as a sleeping aid.
turmuric,"Turmeric tea infusion is used as a stomach and intestine remedy for the treatment of digestive complaints, especially functional disturbances of the gall systems. In both Ayurvedic and Unani medicine it is used as a stomachic and tonic. The Pharmacopoeia of the People's Republic of China indicates its use for treatment of pricking pain in the chest and hypochondrium (abdominal pain), mass formation in the abdomen, and amenorrhea (to stimulate menstrual discharge and relieve pain), among other conditions. Studies showed it may be beneficial for protecting heart after some heart surgeries, reducing skin irritation and pain."
ginseng,"Used to strengthen the immune system and help fight off stress and disease. There are different types of ginseng used for cognitive function, diabetes, preventing the common cold and flu, male erectile dysfunction, and reducing the severity of herpes simplex virus type 2 infections."
cinnamon,anti oxidant and anti-inflammatory properties and may help with lowering blood pressure and protecting the heart
licorice,"Licorice root tea is one of the naturally sweetest teas in the world. Traditionally, it has been used for treating stomach pain and cough."
lemongrass,"may help relieve the pain and anxiety, lower blood pressure, act as antioxidant and help with weight management. Studies showed it also has antibacterial and anti inflammatory properties."
lavender,"used for relaxation, relieving anxiety, calming, lifting mood, and boosting the immune system."
blue mallow blossoms,"Mallow is used for irritation of the mouth and throat, dry cough, constipation, and other uses. However there is not enough evidence to support use of mallow for any condition."
Fruit Flavored Tea,"Flavoured black teas contain significantly higher level of antioxidants (catechins, quercetin, and rutin), and the content of chlorogenic and caffeic acids as well as naringin and hesperidin was higher in fruit teas. Supplementation with these flavonoids could reduce blood glucose."
jasmine,"The health benefits of jasmine tea include treating anxiety, fever, sunburn and stomach ulcers. However, jasmine has mostly been used in traditional medicine, and more research is needed to confirm the benefits. Because of its flavor and scent, it’s often blended with green tea."
yerba mate,"One of rare herbal teas containing caffeine. It contains antioxidants and may be beneficial for diabetes and weight loss, aid in digestion and even help with depression."
calendula,"Externally, tea is used for treating inflammation and for gargling, and internally, for soothing the stomach."
cardamom,"Cardamom contains chemicals that might treat intestinal spasms, kill some bacteria, reduce swelling, and help the immune system. May improve liver health in people with nonalcoholic fatty liver disease (NAFLD)."
cherry bark,"Cherry bark is used as traditional herbal remedies for labor pains, lung problems, cough, and diarrhea. Cherry tree components have shown to possess antioxidative effects on humans."
slippery elm,"Taken orally to relieve coughs, sore throats, diarrhea, and stomach problems. It contains mucilage, which coats and soothes the mouth, throat, stomach, and intestines. It also contains antioxidants that help relieve inflammatory bowel conditions."
clove,"Anti-inflammatory and antioxidative effects. Cloves are a great source of beta-carotene, which helps give them their rich brown color. The carotene family of pigments are important antioxidants and provitamins that support eye health and prevent oxidative stress. Cloves may also reduce stomach ulcers and prevent liver damage. "
Tulsi,"Tulsi or Holy Basil is an adaptogenic herb used for its ability to reduce stress naturally and benefit the overall health. Adaptogenic herbs are often used for dealing with lifestyle-related diseases, especially different types of stress. Tulsi has anti-inflammatory, antioxidant, antidiabetic, anticancer, antimicrobial and radioprotective properties"
Rosemary,Rosemary may provide several benefits–from helping with Alzheimer’s disease to treating anxiety.
Olive Leaf,"This tea is made from dried olive tree leaves. It has a lightly sweet and refreshing taste. It may have potential use in preventing cancer, lowering cholesterol and blood sugar, and helping with weight loss."
Barley Tea,"Also known as mugicha, one of the most popular herbal teas in eastern Asia. This delicious tea is commonly used for aiding digestion and promoting weight loss."
