"","web-scraper-order","web-scraper-start-url","link","link-href","Caffeine","Flavor","Description","Ingredients","item_ID","Steeping","Image-src","Price","Name","Type","ID","Category","V4","Origin","Availability","Time","Color","Link","Link-href","Benefits","Pagination","pagination"
"1","1636382256-27","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Candy Cane Crush Tea-infused Lip Butter","https://www.davidstea.com/us_en/tea/shop-all/candy-cane-crush-tea-infused-lip-butter/990720US01.html?cgid=tea-collections","null","null","Give your kisser the royal treatment with this rich, soothing lip balm, infused with our Candy Cane Crush tea. It’s got organic coconut oil, to soften, hydrate and repair the skin, plus a luscious base of organic cocoa butter, to create a protective barrier and shield you from the elements. Finally there’s a luxurious hint of almond oil – which is packed with vitamins A, B and E, plus a healthy dose of antioxidants. Now that’s something to smile about. Proudly made in Canada. 100% vegan. Not tested on animals.","*Cocos Nucifera Oil, Candelilla Cera, Candy Cane Crush tea (Camellia Sinensis, Saccharum Officinarum, Mentha Piperita, Aroma/Flavor) infused,*Prunus Amygdalus Dulcis (Sweet Almond) Oil, *Ricinus Communis (Castor) Seed Oil, *Simmondsia Chinensis (Jojoba) Seed Oil, *Olea Europaea (Olive) Fruit Oil, *Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, *Aroma/Flavor.
*Certified Organic Ingredients

view more
view less","990720US01","null","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dwfd28f572/productimages/990720DT01-990720US01-BI-1.jpg?sw=450&sh=450&sm=fit","$6.00","Candy Cane Crush Tea-infused Lip Butter","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1636382493-73","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Chevron Printed Tin","https://www.davidstea.com/us_en/tea/shop-all/chevron-printed-tin/961761US01.html?cgid=tea-collections","null","null","A fun and practical way to store your loose tea. This 100 g tea tin with a snazzy chevron design was specially designed to block out light and air, so your tea stays fresher longer. Plus it’s great for organizing your cupboards or for displaying on the counter, so your favourite tea is always within reach. Limited edition.","null","961761US01","null","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dw0b480293/productimages/961761DT01-961761US01-BI-1.jpg?sw=450&sh=450&sm=fit","$3.00","Chevron Printed Tin","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1636382624-99","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Frozen Raspberry Iced Tea Pitcher Pack","https://www.davidstea.com/us_en/tea/shop-all/frozen-raspberry-iced-tea-pitcher-pack/961272US01VAR0062835.html?cgid=tea-collections","null","null","We all know raspberries taste great straight up. But have you tried them in this sweet and fruity iced tea? Game-changer. We kicked this summery caffeine-free blend up a notch with a creamy swirl of yogurt. The result? An icy treat that tastes just like a raspberry fro-yo. We won’t judge if you go back for seconds.



And in this convenient, pre-portioned loose leaf tea pitcher pack, you can brew pitcher-friendly iced tea for a crowd with no measuring required.","null","961272US01VAR0062835","null","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dw0f6a57d8/productimages/961272DT01VAR0082338-961272US01VAR0062835-BI-1.jpg?sw=450&sh=450&sm=fit","$5.00","Frozen Raspberry Iced Tea Pitcher Pack","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1636382483-71","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Ghosts Perfect Spoon","https://www.davidstea.com/us_en/coloured-perfect-spoon-ghosts-purple/904248US01.html?dwvar_904248US01_color=Purple&cgid=tea-collections","null","null","The DAVIDsTEA Perfect Spoon is one of our very favourite products. It’s small, but has great powers. By measuring your loose leaf tea correctly, it ensures a perfect brew every time. Not too strong, not too weak. You’ll love it. Made with high-quality stainless steel, this ghostly version of our essential teaspoon with a scooper is the perfect way to add a little bling to your daily cuppa.","null","904248US01VAR0071816","null","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dwaba80040/productimages/904248DT01VAR0094319-904248US01VAR0071816-BI-1.jpg?sw=450&sh=450&sm=fit","$9.00","Ghosts Perfect Spoon","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1636382850-142","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Maui Madness Iced Tea Pitcher Pack","https://www.davidstea.com/us_en/tea/shop-all/maui-madness-iced-tea-pitcher-pack/961563US01VAR0069203.html?cgid=tea-collections","Caffeine-free","null","We’re daydreaming about the perfect beach vacay, so we brought the beach to our teacups with this refreshing, tropical iced tea. Take in the scents and sights of a sunset with this light purple tea. Inspired by Hawaiian purple potato.
And in this convenient, pre-portioned loose leaf tea pitcher pack, you can brew iced tea for a crowd with no measuring required.","Candied pineapple (pineapple, sugar), Purple sweet potato, Apple, Orange peel, Natural pineapple flavouring, Kiwi, Marigold flowers, Natural flavouring with stevia extract, Natural exotic flavouring.

view more
view less","961563US01VAR0069203","Steep for 5+ minutes","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dw9d3204da/productimages/961563DT01VAR0090722-961563US01VAR0069203-BI-1.jpg?sw=450&sh=450&sm=fit","$5.00","Maui Madness Iced Tea Pitcher Pack","Herbal Tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1636382310-38","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Headache Halo SOS Headache Capsule","https://www.davidstea.com/us_en/tea/shop-all/headache-halo-sos-headache-capsule/961278US01.html?cgid=tea-collections","Caffeine-free","null","Help calm a headache the natural way. This heavenly caffeine-free rooibos features soothing willow bark, comforting passionflower, cooling nana mint and relaxing lavender. The result? A smooth, fresh and creamy infusion designed to help melt away tension and ease the mind – morning, noon and night.



This loose leaf tea comes packed in a small, travel-friendly capsule tin so you can take your favourite wellness tea with you wherever you go.","Rooibos, Nana mint, Lemongrass, Willow bark, Nettle leaves, Lavender, Passionflower, Vervain leaves, Rose petals, Mallow blossoms.","961278US01","Steep for 4-5 minutes","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dw4e824d58/productimages/961278DT01-961278US01-BI-1.jpg?sw=450&sh=450&sm=fit","$6.00","Headache Halo SOS Headache Capsule","Rooibos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1636382395-53","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Aerolatte Wood Matcha Frother","https://www.davidstea.com/us_en/handheld-matcha-frother-aerolatte/902705US01.html?dwvar_902705US01_color=SP19Wood&cgid=tea-collections","null","null","Get your matcha on with this specially designed bamboo-print frother. With its matcha-specific motor and green tea-friendly nylon head, it lets you whip up rich and frothy matchas in no time flat. What’s more, this little beauty also works wonders on hot or cold milk so you can make delicious green tea lattes. With its battery-powered, cordless operation, you can bring it everywhere you go. Includes two AA batteries.","null","902705US01VAR0050897","null","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dw37b32e57/productimages/902705DT01VAR0065585-902705US01VAR0050897-BI-1.jpg?sw=450&sh=450&sm=fit","$25.00","Aerolatte Wood Matcha Frother","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1636382356-46","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Corgi Infuser with Saucer","https://www.davidstea.com/us_en/novelty-infuser-corgi/904321US01.html?dwvar_904321US01_color=Navy&cgid=tea-collections","null","null","Add some fun to your daily cuppa with this cute Corgi-shaped tea infuser with matching saucer. But we love it for more than its looks – it also makes an exceptionally tasty cup of tea. The stainless steel infuser is super-finely perforated, so it won’t let even the smallest leaf through. And the silicone topper is hollowed out, so your tea has extra room to expand. The perfect gift for any tea lover.","null","904321US01VAR0067947","null","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dw723b0ca6/productimages/904321DT01VAR0089158-904321US01VAR0067947-BI-1.jpg?sw=450&sh=450&sm=fit","$15.00","Corgi Infuser with Saucer","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1636382095-2","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Cold Survival Kit","https://www.davidstea.com/us_en/tea/shop-all/cold-survival-kit/961384US01.html?cgid=tea-collections","null","null","Let’s be real – being sick sucks. But with teas and infusions packed with nature’s most comforting, throat-soothing, immune-boosting ingredients, relief is just a cup away. Includes: Organic Cold 911, Echinacea Shield, Headache Halo, Valerian Nights & Organic Throat Rescue.","Cold 911 (Organic):  Organic peppermint, Organic apple, Organic eucalyptus, Organic juniper berries, Organic orange oil, Natural flavouring, Natural peppermint oil. 
Echinacea Shield:  Green tea, Rosehips, Candied pineapple (pineapple, sugar), Elderberries, Natural (mango, berry) flavouring, Sage leaves, Goji berries, Echinacea, Raspberries, Ginseng. 
Headache Halo:  Rooibos, Nana mint, Lemongrass, Willow bark, Nettle leaves, Lavender, Passionflower, Vervain leaves, Rose petals, Mallow blossoms. 
Throat Rescue (Organic):  Organic licorice root, Organic fennel, Organic nana mint, Organic anise, Organic ginger, Organic peppermint, Organic nettle leaves, Organic black pepper, Organic cinnamon, Organic cardamom, Organic cloves, Organic marigold blossoms, Organic cornflower blossoms. 
Valerian Nights:  Apple, Roasted coconut, Rooibos, Chamomile, Caramel pieces (sugar, glucose syrup), Sweet blackberry leaves, Natural coconut flavouring, Valerian root, Natural (caramel, sweet blackberry leaf) flavouring. 


view more
view less","961384US01","null","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dwaeeb5798/productimages/961384DT01-961384US01-BI-1.jpg?sw=450&sh=450&sm=fit","$19.00","Cold Survival Kit","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1636382468-68","https://www.davidstea.com/us_en/tea/shop-all/?sz=all","Skulls Perfect Infuser","https://www.davidstea.com/us_en/perfect-infuser-skulls-cutout-chrome-black/904286US01.html?dwvar_904286US01_color=Black&cgid=tea-collections","null","null","The perfect one-cup tea infuser. Made of durable stainless steel with a curvy shape that fits into almost any mug, the luxe version of our DAVIDsTEA Perfect Infuser was specially designed to keep small tea leaves in place, while allowing larger teas plenty of room to expand. The result? A deliciously full-flavoured cup, every time.","null","904286US01VAR0066646","null","https://www.davidstea.com/dw/image/v2/BBXZ_PRD/on/demandware.static/-/Sites-davidstea-master-catalog/default/dw6b1703e6/productimages/904286DT01VAR0087200-904286US01VAR0066646-BI-1.jpg?sw=450&sh=450&sm=fit","$9.00","Skulls Perfect Infuser","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
